                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.54358,                 0.3741,                0.87992,                0.57681,                0.73082,                0.66541,                 0.4803,                 1.0498,                 1.2908,                 1.2259,             0.00036307,             0.00036307,             0.00036307
                    104,                0.53891,                0.35328,                0.88245,                0.71474,                0.65416,                0.68265,                0.49775,                 1.0277,                 1.1215,                 1.2131,             0.00035574,             0.00035574,             0.00035574
                    105,                0.55833,                0.38229,                0.89569,                0.68689,                0.68388,                0.73883,                0.55241,                 1.0039,                 1.0466,                 1.2193,             0.00034841,             0.00034841,             0.00034841
                    106,                0.54794,                0.35248,                0.88292,                0.62595,                0.74439,                0.76978,                0.56939,                 1.0272,                0.97013,                 1.2438,             0.00034108,             0.00034108,             0.00034108
                    107,                0.54111,                0.36171,                0.88601,                0.69619,                0.65192,                 0.6861,                0.49804,                 1.0358,                 1.1521,                 1.2476,             0.00033374,             0.00033374,             0.00033374
                    108,                0.53894,                0.34732,                0.88366,                0.66092,                0.65109,                0.67213,                 0.4979,                 1.0258,                 1.2029,                 1.2293,             0.00032641,             0.00032641,             0.00032641
                    109,                0.54796,                0.35976,                0.88805,                0.67718,                 0.6973,                 0.6911,                0.51768,                0.99934,                 1.1698,                 1.2241,             0.00031908,             0.00031908,             0.00031908
                    110,                0.52961,                0.34531,                0.88331,                0.59251,                0.78692,                0.73703,                  0.555,                 1.0245,                 1.1308,                 1.2326,             0.00031175,             0.00031175,             0.00031175
                    111,                0.51997,                0.33774,                0.87856,                0.60858,                0.81385,                0.73322,                0.55122,                  1.034,                 1.0587,                 1.2574,             0.00030441,             0.00030441,             0.00030441
                    112,                0.54185,                0.35345,                0.88247,                0.57052,                0.80879,                0.72427,                0.53804,                 1.0356,                 1.2186,                 1.2598,             0.00029708,             0.00029708,             0.00029708
                    113,                 0.5218,                0.34845,                0.87724,                0.59422,                0.77233,                0.72491,                0.53989,                 1.0466,                 1.2019,                 1.2342,             0.00028975,             0.00028975,             0.00028975
                    114,                 0.5246,                0.34214,                0.88663,                0.54482,                0.84176,                0.68158,                0.51181,                 1.0186,                 1.2648,                 1.2267,             0.00028242,             0.00028242,             0.00028242
                    115,                0.49826,                0.32146,                0.87737,                0.59227,                0.72018,                0.66033,                0.49244,                 1.0212,                  1.307,                 1.2281,             0.00027508,             0.00027508,             0.00027508
                    116,                0.49294,                0.32848,                 0.8733,                0.55965,                 0.7418,                0.61652,                0.45696,                  1.023,                 1.5106,                 1.2163,             0.00026775,             0.00026775,             0.00026775
                    117,                0.49216,                0.31351,                0.86829,                0.60069,                0.73194,                0.65953,                0.49935,                0.97863,                 1.3685,                 1.1893,             0.00026042,             0.00026042,             0.00026042
                    118,                0.51274,                0.33115,                0.87369,                0.56978,                0.77036,                0.69009,                   0.53,                0.97916,                 1.2262,                 1.2112,             0.00025309,             0.00025309,             0.00025309
                    119,                0.49886,                 0.3184,                0.87489,                0.54364,                0.81858,                0.69104,                0.52179,                 1.0007,                 1.2041,                 1.2265,             0.00024575,             0.00024575,             0.00024575
                    120,                0.49206,                0.32768,                0.87153,                0.57032,                0.83786,                0.71843,                0.52756,                0.99117,                 1.1963,                 1.2136,             0.00023842,             0.00023842,             0.00023842
                    121,                0.50755,                0.34502,                0.86999,                0.59093,                0.78394,                0.71134,                0.52598,                 1.0185,                 1.0681,                 1.2405,             0.00023109,             0.00023109,             0.00023109
                    122,                0.48583,                0.32353,                0.85685,                0.59012,                0.79367,                0.76264,                0.56996,                 1.0303,                 1.0185,                 1.2439,             0.00022376,             0.00022376,             0.00022376
                    123,                0.47907,                0.31639,                0.85531,                0.58747,                0.80121,                 0.7224,                0.53328,                 1.0231,                 1.1504,                 1.2342,             0.00021642,             0.00021642,             0.00021642
                    124,                0.47797,                0.31303,                0.87055,                0.56377,                0.76923,                0.68287,                0.50821,                0.99248,                 1.2305,                  1.223,             0.00020909,             0.00020909,             0.00020909
                    125,                0.49015,                0.31991,                0.87342,                0.54675,                0.74894,                 0.6668,                0.50422,                 0.9914,                  1.204,                 1.2285,             0.00020176,             0.00020176,             0.00020176
                    126,                0.47414,                0.30779,                0.85821,                0.55135,                0.74719,                0.66493,                0.49985,                 1.0103,                 1.2149,                 1.2444,             0.00019442,             0.00019442,             0.00019442
                    127,                0.46273,                 0.3068,                0.85469,                0.55547,                0.75832,                0.66821,                0.50318,                 1.0058,                 1.1629,                  1.244,             0.00018709,             0.00018709,             0.00018709
                    128,                0.46695,                 0.3104,                0.85911,                0.58421,                 0.7359,                0.67404,                0.49844,                 1.0265,                  1.126,                 1.2524,             0.00017976,             0.00017976,             0.00017976
                    129,                0.46897,                  0.307,                0.86155,                0.65075,                 0.6316,                0.67455,                0.50646,                 1.0197,                 1.1146,                 1.2426,             0.00017243,             0.00017243,             0.00017243
                    130,                0.45896,                 0.3019,                0.86334,                0.55626,                0.74659,                 0.6911,                0.51629,                 1.0253,                 1.1677,                  1.247,             0.00016509,             0.00016509,             0.00016509
                    131,                0.46212,                0.31669,                0.86184,                0.57987,                0.77226,                0.70276,                 0.5259,                 1.0303,                 1.1441,                 1.2574,             0.00015776,             0.00015776,             0.00015776
                    132,                 0.4627,                0.31037,                0.87065,                0.59639,                0.75591,                0.69114,                0.51548,                 1.0188,                 1.2133,                 1.2603,             0.00015043,             0.00015043,             0.00015043
